Layer 1 ,Layer 2 ,ten_day_comb,Shape_Area,Shape_Area,time_since_first,jaccard_4,Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,two_week_comb,time_since_first,jaccard_1,Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,one_week_comb,time_since_first,jaccard_2,Layer 1 ,Layer 2 ,three_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_3,18_day_combinations,Layer1,Layer2,Shape_Area,Shape_Area,jaccard,time_since
June21_June30,Aug1_Aug10,3_7,0.000002,0.0114677333,4,0.0001744023817,,,,,,,,June8_June14,July27_Aug2,0.00001,0.006144,one_week_2_9,7,0.001627604167,,,,,,,,,,,,,,
June21_June30,Aug11_Aug20,3_8,0,0.0030297183,5,0,,,,,,,,June8_June14,Aug3_Aug9,0.00001,0.012246,one_week_2_10,8,0.0008165931733,,,,,,,,,,,,,,
June21_June30,Aug21_Aug31,3_9,0.000001,0.0195851251,6,0.00005105915816,,,,,,,,June8_June14,Aug10_Aug16,0.00001,0.01123,one_week_2_11,9,0.0008904719501,,,,,,,,,,,,,,
July1_July10,July11_July20,4_5,0.000056,0.0094678865,1,0.005914730811,,,,,,,,June8_June14,Aug17_Aug23,0.00001,0.009514,one_week_2_12,10,0.001051082615,,,,,,,,,,,,,,
July1_July10,July21_July31,4_6,0.000762,0.0054599064,2,0.1395628321,,,,,,,,June8_June14,Aug24_Aug31,0.00001,0.012285,one_week_2_13,11,0.000814000814,,,,,,,,,,,,,,
July1_July10,Aug1_Aug10,4_7,0.001027,0.0116172966,3,0.08840266676,,,,,,,,June15_June21,June22_June28,0.000012,0.000012,one_week_3_4,1,1,,,,,,,,,,,,,,
July1_July10,Aug11_Aug20,4_8,0,0.0042042431,4,0,,,,,,,,June15_June21,June29_July5,0.000012,0.000017,one_week_3_5,2,0.7058823529,,,,,,,,,,,,,,
July1_July10,Aug21_Aug31,4_9,0.000008,0.0207518337,5,0.0003855081009,,,,,,,,June15_June21,July6_July12,0.000012,0.001211,one_week_3_6,3,0.009909165979,,,,,,,,,,,,,,
July11_July20,July21_July31,5_6,0.000618,0.0127754683,1,0.04837396059,,,,,,,,June15_June21,July13_July19,0.000012,0.00816,one_week_3_7,4,0.001470588235,,,,,,,,,,,,,,
July11_July20,Aug1_Aug10,5_7,0.000643,0.0191718249,2,0.03353879995,,,,,,,,June15_June21,July20_July26,0.000012,0.004449,one_week_3_8,5,0.002697235334,,,,,,,,,,,,,,
